epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.679,1.83118,4.09873,1.98745,0.49311,0.15634,0.14298,0.06076,2.11114,2.74052,2.29448,0.000157845,0.000157845,0.000157845
2,194.8,1.78152,2.78352,1.8754,0.46559,0.21617,0.17473,0.0666,2.20298,3.08286,2.263,0.000310244,0.000310244,0.000310244
3,276.2,1.79236,2.70483,1.88431,0.59721,0.14504,0.15284,0.05498,2.31482,2.96513,2.49875,0.000456361,0.000456361,0.000456361
4,357.227,1.80146,2.65821,1.87982,0.3921,0.26833,0.19838,0.0785,2.13234,2.58203,2.28069,0.000447726,0.000447726,0.000447726
5,438.741,1.78457,2.51396,1.86102,0.51691,0.24383,0.23164,0.09228,2.07451,2.45149,2.25866,0.000438301,0.000438301,0.000438301
6,519.838,1.73314,2.40508,1.8426,0.52439,0.2492,0.21775,0.09093,2.05822,2.50344,2.28748,0.000428876,0.000428876,0.000428876
7,600.933,1.72263,2.35567,1.81861,0.51458,0.29356,0.26883,0.11585,2.00808,2.24718,2.17745,0.000419451,0.000419451,0.000419451
8,681.425,1.69828,2.2715,1.80555,0.42168,0.34511,0.27169,0.11055,2.00434,2.32375,2.20416,0.000410026,0.000410026,0.000410026
9,762.198,1.67347,2.19211,1.78398,0.52895,0.31796,0.28026,0.12115,2.02349,2.19758,2.20394,0.000400602,0.000400602,0.000400602
10,842.837,1.66626,2.17416,1.78514,0.45819,0.36099,0.3171,0.13976,1.99548,2.10864,2.15008,0.000391177,0.000391177,0.000391177
11,923.634,1.63053,2.08238,1.74287,0.40802,0.31869,0.28571,0.13244,1.98311,2.17694,2.20177,0.000381752,0.000381752,0.000381752
12,1004.56,1.60699,2.01694,1.72377,0.51341,0.38425,0.35987,0.15708,1.96574,2.02042,2.14448,0.000372327,0.000372327,0.000372327
13,1085.67,1.60214,1.95537,1.71377,0.54691,0.3405,0.32133,0.14539,1.94773,2.0947,2.14096,0.000362902,0.000362902,0.000362902
14,1167.12,1.5968,1.91613,1.69448,0.49491,0.35702,0.34809,0.15492,1.9828,1.95401,2.16103,0.000353478,0.000353478,0.000353478
15,1248.68,1.58796,1.87107,1.69267,0.51639,0.36667,0.36217,0.15948,2.00432,1.98327,2.16185,0.000344053,0.000344053,0.000344053
16,1329.44,1.58048,1.8875,1.69191,0.44899,0.38808,0.3623,0.1601,1.99969,2.00258,2.1484,0.000334628,0.000334628,0.000334628
17,1410.13,1.55732,1.81375,1.67128,0.47256,0.42958,0.3869,0.17747,1.96951,1.84419,2.1043,0.000325203,0.000325203,0.000325203
