epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4549,1.92011,3.5141,2.09365,0.31499,0.15169,0.0579,0.02121,2.2429,4.15754,2.49864,0.000331492,0.000331492,0.0671823
2,136.488,1.93307,3.16428,2.09493,0.88569,0.06725,0.1074,0.04623,2.19216,3.69505,2.53336,0.000664753,0.000664753,0.0341822
3,194.854,1.91013,3.09584,2.08397,0.31086,0.14772,0.07496,0.03763,2.33055,4.3449,2.63858,0.000997725,0.000997725,0.00118189
4,252.955,1.88156,3.01529,2.06623,0.6017,0.15389,0.13357,0.0651,2.14758,3.22036,2.38898,0.000999023,0.000999023,0.000999023
5,311.084,1.83237,2.91636,2.0231,0.51522,0.233,0.16987,0.08274,2.04122,2.81959,2.32769,0.000998264,0.000998264,0.000998264
6,368.721,1.82267,2.85049,1.98643,0.41631,0.25388,0.19462,0.09401,2.02049,2.5798,2.26935,0.000997288,0.000997288,0.000997288
7,427.225,1.82642,2.80812,1.99311,0.39659,0.23495,0.18581,0.09381,2.02524,2.69987,2.30722,0.000996097,0.000996097,0.000996097
8,485.542,1.77365,2.7661,1.97846,0.47034,0.31158,0.21383,0.11174,1.92183,2.71409,2.19919,0.00099469,0.00099469,0.00099469
9,543.543,1.76229,2.6771,1.94285,0.50699,0.257,0.21031,0.10159,2.07454,2.55624,2.30154,0.000993068,0.000993068,0.000993068
10,601.948,1.75249,2.64083,1.9325,0.49556,0.28604,0.2548,0.12878,1.93888,2.3959,2.19363,0.000991232,0.000991232,0.000991232
11,659.868,1.7157,2.54335,1.89211,0.33911,0.29455,0.23414,0.1195,1.91089,2.44882,2.20224,0.000989183,0.000989183,0.000989183
12,717.977,1.70898,2.57256,1.89587,0.41994,0.28783,0.24007,0.12499,1.87988,2.32916,2.15108,0.000986922,0.000986922,0.000986922
13,775.709,1.68761,2.49081,1.87294,0.47016,0.30609,0.27571,0.14376,1.86159,2.26738,2.11347,0.000984449,0.000984449,0.000984449
14,833.55,1.69414,2.45942,1.87175,0.44272,0.31391,0.28696,0.14911,1.90092,2.27262,2.16507,0.000981765,0.000981765,0.000981765
15,891.802,1.67187,2.43761,1.85614,0.4012,0.3594,0.30852,0.15339,1.89419,2.17446,2.1072,0.000978873,0.000978873,0.000978873
16,949.454,1.67307,2.42959,1.855,0.53113,0.32936,0.30964,0.16098,1.89462,2.12079,2.14149,0.000975773,0.000975773,0.000975773
17,1007.4,1.66912,2.41997,1.8613,0.42779,0.31462,0.28525,0.14533,1.88947,2.17964,2.15398,0.000972466,0.000972466,0.000972466
18,1065.06,1.67402,2.39941,1.86422,0.45276,0.34109,0.29893,0.15261,1.88639,2.09301,2.13951,0.000968955,0.000968955,0.000968955
