epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,241.204,1.59129,3.5064,2.61775,1.72762,0,0.37591,0.37482,0.34637,0.20197,0.3654,0.34922,0.31955,0.14818,1.91914,5.54074,2.90116,2.2151,0,0.000332717,0.000332717,0.067061
2,477.86,1.59851,3.41031,2.44855,1.75541,0,0.64674,0.39176,0.39367,0.25025,0.68694,0.35118,0.3798,0.23754,1.79425,3.8356,2.86764,2.03197,0,0.000661991,0.000661991,0.0340569
3,699.525,1.54946,3.27699,2.34162,1.71255,0,0.43522,0.36161,0.3448,0.21617,0.43209,0.35408,0.33181,0.20721,1.82892,3.63404,2.70147,2.07223,0,0.000975172,0.000975172,0.00103679
4,932.932,1.50193,3.20415,2.25064,1.67473,0,0.51101,0.46204,0.45443,0.3231,0.50328,0.44438,0.43975,0.3043,1.64653,3.42604,2.32844,1.88527,0,0.000946048,0.000946048,0.000946048
5,1164.97,1.44648,3.09504,2.13498,1.627,0,0.46234,0.51956,0.49749,0.35538,0.46454,0.51023,0.48952,0.33261,1.54483,3.17823,2.26394,1.76175,0,0.000905463,0.000905463,0.000905463
6,1390.32,1.53491,3.1186,2.13644,1.76397,0,0.56731,0.55854,0.55046,0.40675,0.57907,0.55257,0.54124,0.39536,1.46701,2.9198,1.8593,1.68751,0,0.000855018,0.000855018,0.000855018
7,1608.95,1.47723,3.00735,1.98551,1.71025,0,0.61383,0.56717,0.58056,0.42704,0.60653,0.56151,0.57031,0.41154,1.4398,2.82648,1.81042,1.66375,0,0.000795954,0.000795954,0.000795954
8,1826.58,1.41771,2.9091,1.84997,1.6633,0,0.58957,0.59168,0.59377,0.43073,0.59303,0.57366,0.58024,0.41536,1.42499,2.75557,1.73092,1.64656,0,0.000729725,0.000729725,0.000729725
9,2041.5,1.36914,2.80496,1.75541,1.61548,0,0.61391,0.61264,0.61723,0.47184,0.6235,0.58931,0.60088,0.44134,1.34384,2.629,1.65559,1.56192,0,0.000657963,0.000657963,0.000657963
10,2405.27,1.32607,2.72034,1.67611,1.57693,0,0.67423,0.61331,0.64387,0.49139,0.67368,0.60912,0.63275,0.46482,1.30279,2.59205,1.57083,1.52809,0,0.000582435,0.000582435,0.000582435
11,2620.03,1.27698,2.6461,1.57737,1.53235,0,0.65331,0.64224,0.65623,0.50955,0.64959,0.63146,0.63799,0.47389,1.25398,2.49838,1.4822,1.48436,0,0.000505,0.000505,0.000505
12,2836.32,1.24466,2.557,1.4938,1.5064,0,0.6788,0.65016,0.68487,0.53495,0.69043,0.62993,0.66638,0.49825,1.22217,2.44528,1.43464,1.44729,0,0.000427565,0.000427565,0.000427565
13,3056.69,1.20691,2.49003,1.41717,1.46871,0,0.72786,0.67686,0.70146,0.54871,0.73297,0.66029,0.68536,0.51511,1.19855,2.37427,1.32267,1.42466,0,0.000352037,0.000352037,0.000352037
14,3273.79,1.16938,2.40037,1.33274,1.43254,0,0.7207,0.70168,0.72101,0.56766,0.72525,0.68888,0.70468,0.52996,1.16495,2.30719,1.2715,1.39512,0,0.000280275,0.000280275,0.000280275
15,3488.71,1.13772,2.3142,1.26398,1.40487,0,0.73166,0.6992,0.72688,0.58127,0.72219,0.68886,0.70986,0.53612,1.13477,2.26881,1.22508,1.36541,0,0.000214046,0.000214046,0.000214046
16,3704.92,1.10287,2.25179,1.18744,1.37435,0,0.7772,0.68527,0.73964,0.58937,0.78584,0.67889,0.72404,0.54553,1.11968,2.2066,1.1869,1.34557,0,0.000154982,0.000154982,0.000154982
17,3948.37,1.07082,2.19158,1.13299,1.34676,0,0.77723,0.71079,0.75523,0.60409,0.77092,0.70395,0.74051,0.55998,1.09708,2.15925,1.13493,1.3269,0,0.000104537,0.000104537,0.000104537
18,4658.14,1.05224,2.16844,1.09622,1.33343,0,0.7757,0.72356,0.76448,0.61528,0.77823,0.70251,0.74539,0.56367,1.08709,2.13408,1.09337,1.31882,0,6.39518e-05,6.39518e-05,6.39518e-05
