epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,298.715,1.47149,3.31291,2.42593,1.61821,0,0.36904,0.38789,0.30761,0.19545,0.36164,0.36824,0.2925,0.17021,1.75393,4.06062,3.37638,1.93774,0,0.00019963,0.00019963,0.0402181
2,520.201,1.48853,3.21084,2.23536,1.63545,0,0.36364,0.40546,0.36453,0.24353,0.38267,0.34701,0.32066,0.184,1.73284,4.11171,2.62707,1.96467,0,0.000399591,0.000399591,0.0304181
3,804.045,1.50308,3.20296,2.216,1.64501,0,0.36876,0.46486,0.38742,0.24652,0.34453,0.4343,0.35483,0.19798,1.70764,3.68281,2.52627,1.95385,0,0.000599394,0.000599394,0.0206179
4,1020.81,1.48602,3.18208,2.17789,1.63784,0,0.59325,0.43276,0.45757,0.30188,0.5818,0.42779,0.44428,0.27913,1.67053,3.30013,2.32191,1.90002,0,0.00079892,0.00079892,0.0108174
5,1245.3,1.4766,3.14502,2.14502,1.6185,0,0.51373,0.49044,0.48381,0.31709,0.51496,0.48617,0.4739,0.30859,1.60795,3.17986,2.32963,1.81246,0,0.000998053,0.000998053,0.00101654
6,1469.21,1.44258,3.10399,2.09001,1.59603,0,0.5956,0.49474,0.52414,0.37114,0.60014,0.4903,0.51315,0.35501,1.57262,3.15252,2.10436,1.77702,0,0.000997535,0.000997535,0.000997535
7,1683.53,1.41181,3.04062,2.02768,1.5745,0,0.55885,0.52541,0.53902,0.39116,0.53592,0.50945,0.52052,0.36924,1.50325,3.09869,2.0227,1.71672,0,0.000996452,0.000996452,0.000996452
8,1895.24,1.37617,2.9716,1.94166,1.54389,0,0.57669,0.55778,0.57982,0.42344,0.56748,0.55089,0.56697,0.40526,1.45808,2.84358,1.84176,1.67807,0,0.000995173,0.000995173,0.000995173
9,2110.49,1.36333,2.96018,1.93003,1.53098,0,0.64307,0.55349,0.58745,0.42955,0.64245,0.54812,0.57718,0.41335,1.40618,2.87514,1.83061,1.62171,0,0.000993698,0.000993698,0.000993698
10,2356.88,1.33328,2.89569,1.86705,1.51136,0,0.60625,0.5666,0.59461,0.43625,0.59928,0.55006,0.57697,0.41504,1.41781,2.82871,1.75296,1.61799,0,0.000992029,0.000992029,0.000992029
11,2570.98,1.31036,2.84372,1.7951,1.48413,0,0.64527,0.56765,0.59822,0.44122,0.63506,0.56056,0.58307,0.42121,1.38948,2.8335,1.74187,1.58817,0,0.000990166,0.000990166,0.000990166
12,2790.06,1.30636,2.84966,1.78985,1.48615,0,0.5982,0.58037,0.59402,0.44421,0.59144,0.57506,0.5812,0.41153,1.39679,2.77927,1.71598,1.63016,0,0.000988111,0.000988111,0.000988111
13,3119.94,1.29731,2.81562,1.77375,1.47378,0,0.643,0.57321,0.60924,0.45871,0.62431,0.55041,0.58702,0.43215,1.35288,2.78409,1.73907,1.56932,0,0.000985862,0.000985862,0.000985862
