epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.295,1.50612,2.6435,1.6594,0.42842,0.4327,0.40638,0.27374,1.75155,2.55121,1.98794,0.000332624,0.000332624,0.000332624
2,197.221,1.62767,2.37256,1.75985,0.29956,0.44385,0.33886,0.19707,1.86755,2.88403,1.98024,0.000659364,0.000659364,0.000659364
3,282.201,1.62671,2.31466,1.74928,0.5679,0.4247,0.41384,0.27221,1.77133,2.4564,1.89362,0.000979505,0.000979505,0.000979505
4,368.38,1.62487,2.29929,1.75182,0.87245,0.33376,0.42297,0.29854,1.74328,2.52334,1.94437,0.0009703,0.0009703,0.0009703
5,453.735,1.55362,2.1909,1.71337,0.62086,0.41289,0.40515,0.27753,1.77923,2.43761,1.95654,0.0009604,0.0009604,0.0009604
6,538.654,1.50167,2.10583,1.67612,0.59061,0.46994,0.47549,0.34748,1.63052,2.16378,1.82896,0.0009505,0.0009505,0.0009505
7,625.265,1.46524,2.05688,1.65117,0.46525,0.53419,0.51032,0.3612,1.56792,2.06645,1.72997,0.0009406,0.0009406,0.0009406
8,709.826,1.44753,1.98558,1.6159,0.49508,0.54719,0.54288,0.40231,1.49834,1.89171,1.69097,0.0009307,0.0009307,0.0009307
9,795.175,1.42829,1.93742,1.60299,0.64593,0.51527,0.5342,0.38887,1.5277,1.91871,1.68858,0.0009208,0.0009208,0.0009208
10,881.614,1.40035,1.91294,1.59008,0.55898,0.54251,0.53667,0.39805,1.49933,1.90409,1.65812,0.0009109,0.0009109,0.0009109
11,971.106,1.37576,1.87745,1.57283,0.60134,0.54683,0.55932,0.42007,1.48795,1.85704,1.65464,0.000901,0.000901,0.000901
12,1058,1.33425,1.76833,1.53996,0.59402,0.55479,0.55455,0.42564,1.41581,1.81403,1.59556,0.0008911,0.0008911,0.0008911
13,1144.83,1.32771,1.77912,1.53323,0.61288,0.58039,0.60244,0.4473,1.39804,1.70176,1.57102,0.0008812,0.0008812,0.0008812
14,1233.73,1.32866,1.73468,1.52099,0.6307,0.55906,0.59029,0.44469,1.40326,1.68634,1.57047,0.0008713,0.0008713,0.0008713
15,1321.54,1.31184,1.69701,1.51119,0.65277,0.58334,0.61432,0.46573,1.35594,1.64076,1.52876,0.0008614,0.0008614,0.0008614
16,1408.88,1.30019,1.68816,1.50071,0.59862,0.59955,0.5976,0.45365,1.38692,1.68767,1.55354,0.0008515,0.0008515,0.0008515
17,1496.54,1.27189,1.66249,1.47077,0.745,0.55472,0.5973,0.45641,1.32125,1.62897,1.4899,0.0008416,0.0008416,0.0008416
18,1584.35,1.25962,1.61638,1.46874,0.63691,0.58167,0.60855,0.46445,1.37961,1.64158,1.53872,0.0008317,0.0008317,0.0008317
19,1672.7,1.24721,1.60883,1.45223,0.59607,0.56235,0.57681,0.45288,1.31809,1.67913,1.49134,0.0008218,0.0008218,0.0008218
20,1759.84,1.25293,1.57179,1.45349,0.6175,0.61543,0.61417,0.48011,1.29022,1.56834,1.47653,0.0008119,0.0008119,0.0008119
21,1846.02,1.21981,1.53471,1.43416,0.60848,0.61639,0.63048,0.48744,1.31237,1.54559,1.49374,0.000802,0.000802,0.000802
22,1932.27,1.22232,1.53043,1.44286,0.618,0.62241,0.62462,0.47848,1.31022,1.55649,1.49521,0.0007921,0.0007921,0.0007921
23,2018.88,1.20829,1.50164,1.42241,0.60315,0.63524,0.63459,0.49205,1.28743,1.51965,1.4532,0.0007822,0.0007822,0.0007822
24,2105.65,1.21162,1.48886,1.42484,0.62867,0.60579,0.61521,0.47178,1.34133,1.63295,1.50106,0.0007723,0.0007723,0.0007723
25,2192.17,1.19629,1.47838,1.41039,0.67183,0.60082,0.64501,0.49445,1.30824,1.51798,1.48031,0.0007624,0.0007624,0.0007624
26,2279.71,1.18414,1.45998,1.40612,0.60805,0.62564,0.64813,0.49041,1.3354,1.48267,1.4882,0.0007525,0.0007525,0.0007525
27,2368.14,1.16673,1.40928,1.39153,0.65812,0.62765,0.65268,0.51423,1.26485,1.41985,1.43598,0.0007426,0.0007426,0.0007426
28,2455.79,1.16632,1.39391,1.39302,0.65203,0.64075,0.65372,0.50876,1.27254,1.4436,1.44639,0.0007327,0.0007327,0.0007327
29,2543.12,1.16307,1.41596,1.3884,0.66167,0.62103,0.64923,0.50189,1.27874,1.44931,1.45085,0.0007228,0.0007228,0.0007228
30,2630.1,1.1382,1.36231,1.37157,0.68192,0.65337,0.66871,0.51483,1.26616,1.43774,1.43796,0.0007129,0.0007129,0.0007129
31,2718.32,1.15009,1.36151,1.37095,0.63037,0.665,0.65418,0.50944,1.27045,1.41021,1.43905,0.000703,0.000703,0.000703
32,2805.2,1.13734,1.36253,1.365,0.65104,0.63349,0.65735,0.50802,1.27068,1.39484,1.43832,0.0006931,0.0006931,0.0006931
33,2891.71,1.13052,1.32962,1.35542,0.68304,0.63502,0.66331,0.51936,1.26466,1.42603,1.43155,0.0006832,0.0006832,0.0006832
34,2978.12,1.11244,1.29622,1.33803,0.67516,0.64936,0.6687,0.5264,1.24471,1.38866,1.40704,0.0006733,0.0006733,0.0006733
35,3064.02,1.12411,1.28613,1.35254,0.66388,0.66504,0.67983,0.52899,1.24896,1.34919,1.41015,0.0006634,0.0006634,0.0006634
36,3151.44,1.10709,1.29057,1.34466,0.65896,0.64452,0.64463,0.50952,1.27618,1.44375,1.47805,0.0006535,0.0006535,0.0006535
37,3237.74,1.09944,1.28769,1.32963,0.70664,0.65812,0.68113,0.53557,1.2334,1.34078,1.40877,0.0006436,0.0006436,0.0006436
38,3325.48,1.09984,1.26983,1.33748,0.66943,0.65494,0.67701,0.53281,1.24048,1.33597,1.42356,0.0006337,0.0006337,0.0006337
39,3412.6,1.08553,1.24537,1.32424,0.67169,0.65037,0.68018,0.53427,1.23257,1.37399,1.41167,0.0006238,0.0006238,0.0006238
40,3499.88,1.07187,1.23652,1.3139,0.70766,0.65916,0.68718,0.54173,1.2031,1.31554,1.38543,0.0006139,0.0006139,0.0006139
41,3587.43,1.08184,1.22967,1.31718,0.68737,0.63944,0.66471,0.52769,1.23419,1.39778,1.43327,0.000604,0.000604,0.000604
42,3677.45,1.06911,1.20221,1.30622,0.6765,0.66411,0.68198,0.53482,1.22415,1.32459,1.39773,0.0005941,0.0005941,0.0005941
43,3764.2,1.06191,1.2074,1.30565,0.7164,0.66245,0.69212,0.54922,1.20388,1.33031,1.38831,0.0005842,0.0005842,0.0005842
44,3849.26,1.05333,1.17737,1.3013,0.7092,0.6616,0.68503,0.54539,1.21804,1.32385,1.3945,0.0005743,0.0005743,0.0005743
45,3934.4,1.03686,1.16634,1.29209,0.72262,0.65099,0.69416,0.55038,1.19763,1.30156,1.38743,0.0005644,0.0005644,0.0005644
46,4019.73,1.04075,1.15484,1.29232,0.71367,0.65275,0.69398,0.55082,1.19473,1.32824,1.37726,0.0005545,0.0005545,0.0005545
47,4105.41,1.04323,1.13674,1.29163,0.71941,0.65753,0.6953,0.54968,1.2209,1.32095,1.41332,0.0005446,0.0005446,0.0005446
48,4193.33,1.04006,1.14146,1.28357,0.71855,0.65256,0.69646,0.54594,1.22593,1.2962,1.40582,0.0005347,0.0005347,0.0005347
49,4283.09,1.02964,1.12688,1.27923,0.72574,0.67278,0.69563,0.54525,1.199,1.30079,1.37781,0.0005248,0.0005248,0.0005248
50,4368.57,1.01763,1.11204,1.26931,0.7343,0.67583,0.69923,0.5491,1.21517,1.29702,1.40444,0.0005149,0.0005149,0.0005149
51,4452.82,1.01765,1.08768,1.26092,0.70475,0.67921,0.70227,0.55645,1.2233,1.26239,1.39899,0.000505,0.000505,0.000505
52,4537.5,1.01026,1.09191,1.26558,0.70941,0.67423,0.70464,0.55451,1.23247,1.28051,1.41754,0.0004951,0.0004951,0.0004951
53,4622.06,1.00487,1.08245,1.26088,0.71597,0.6565,0.69875,0.55363,1.20105,1.26709,1.39155,0.0004852,0.0004852,0.0004852
54,4705.87,0.98743,1.04248,1.24309,0.72408,0.66347,0.70063,0.55912,1.20181,1.25679,1.37655,0.0004753,0.0004753,0.0004753
55,4790.79,0.98597,1.0649,1.25097,0.71287,0.67058,0.69593,0.5511,1.21354,1.29167,1.39072,0.0004654,0.0004654,0.0004654
56,4875.32,0.98856,1.03005,1.24191,0.71576,0.68449,0.71205,0.5664,1.19897,1.23388,1.37822,0.0004555,0.0004555,0.0004555
57,4958.64,0.97312,1.03948,1.24079,0.72578,0.68207,0.70669,0.56026,1.21456,1.27543,1.40264,0.0004456,0.0004456,0.0004456
58,5043.01,0.96758,1.02154,1.2404,0.73347,0.66686,0.70239,0.56017,1.20605,1.2704,1.37809,0.0004357,0.0004357,0.0004357
59,5128.89,0.96596,1.00672,1.22883,0.72341,0.68289,0.70359,0.55756,1.20435,1.26908,1.3957,0.0004258,0.0004258,0.0004258
60,5212.4,0.95262,0.99273,1.22305,0.74429,0.65943,0.7074,0.56458,1.1953,1.25407,1.38038,0.0004159,0.0004159,0.0004159
61,5296.61,0.9477,0.97394,1.21766,0.71797,0.68252,0.70755,0.56217,1.19053,1.22812,1.37161,0.000406,0.000406,0.000406
62,5381.84,0.93932,0.96593,1.20805,0.72329,0.6747,0.70957,0.56298,1.20835,1.25787,1.39025,0.0003961,0.0003961,0.0003961
63,5469.11,0.93631,0.94455,1.21068,0.70149,0.69341,0.71178,0.57011,1.19549,1.22064,1.38133,0.0003862,0.0003862,0.0003862
64,5559.12,0.93701,0.9282,1.21483,0.73486,0.68858,0.71427,0.56841,1.20754,1.22319,1.38463,0.0003763,0.0003763,0.0003763
65,5657.25,0.93232,0.93631,1.1976,0.73198,0.68986,0.7258,0.57314,1.21366,1.2214,1.39516,0.0003664,0.0003664,0.0003664
66,5744.39,0.92864,0.91852,1.20119,0.73874,0.67884,0.71474,0.57199,1.20184,1.23384,1.38699,0.0003565,0.0003565,0.0003565
67,5830.29,0.91281,0.91239,1.19293,0.76894,0.67212,0.71632,0.57152,1.18258,1.23049,1.36747,0.0003466,0.0003466,0.0003466
68,5920.56,0.92191,0.90074,1.19192,0.72836,0.69863,0.72586,0.57962,1.18461,1.20101,1.36934,0.0003367,0.0003367,0.0003367
69,6008.68,0.9038,0.88111,1.18177,0.76618,0.66812,0.71718,0.57534,1.19647,1.22972,1.38596,0.0003268,0.0003268,0.0003268
70,6094.44,0.91119,0.89883,1.18947,0.72503,0.71371,0.72007,0.57595,1.20056,1.20913,1.38692,0.0003169,0.0003169,0.0003169
71,6178.57,0.89387,0.86771,1.17616,0.77727,0.68688,0.72922,0.58008,1.20725,1.20173,1.39023,0.000307,0.000307,0.000307
72,6263.47,0.89838,0.86427,1.17449,0.76228,0.68937,0.72385,0.57997,1.19225,1.19598,1.37027,0.0002971,0.0002971,0.0002971
73,6347.79,0.8958,0.85558,1.17506,0.75071,0.68179,0.72267,0.58,1.19871,1.2076,1.38214,0.0002872,0.0002872,0.0002872
74,6432.54,0.87853,0.84004,1.16565,0.73492,0.69282,0.72241,0.5777,1.19759,1.22465,1.39273,0.0002773,0.0002773,0.0002773
75,6516.56,0.87573,0.81512,1.16479,0.76425,0.68336,0.7227,0.57907,1.20367,1.20863,1.38692,0.0002674,0.0002674,0.0002674
76,6601.22,0.87037,0.82381,1.16096,0.74956,0.69314,0.72213,0.57842,1.21161,1.20278,1.3944,0.0002575,0.0002575,0.0002575
77,6687.26,0.87134,0.80558,1.15435,0.72979,0.7087,0.72774,0.57916,1.20953,1.21537,1.38974,0.0002476,0.0002476,0.0002476
78,6773.85,0.86824,0.81683,1.15428,0.74144,0.69903,0.72476,0.57856,1.20392,1.1983,1.39415,0.0002377,0.0002377,0.0002377
79,6858.1,0.85426,0.79408,1.14616,0.73516,0.69964,0.72552,0.58335,1.18583,1.18541,1.3851,0.0002278,0.0002278,0.0002278
80,6943.09,0.85544,0.81005,1.14423,0.70973,0.71085,0.72537,0.57873,1.2048,1.21118,1.41056,0.0002179,0.0002179,0.0002179
81,7027.69,0.85215,0.78185,1.14502,0.76196,0.69177,0.72646,0.57947,1.21013,1.21701,1.40624,0.000208,0.000208,0.000208
82,7113.71,0.83397,0.76005,1.13005,0.73943,0.69471,0.72884,0.58331,1.19446,1.19649,1.39731,0.0001981,0.0001981,0.0001981
83,7198.7,0.84064,0.76025,1.13719,0.7355,0.70179,0.72711,0.58314,1.18698,1.20531,1.38406,0.0001882,0.0001882,0.0001882
84,7283.18,0.84068,0.75907,1.13479,0.72669,0.72124,0.73228,0.58658,1.19637,1.18706,1.39628,0.0001783,0.0001783,0.0001783
85,7368.14,0.82714,0.74109,1.13001,0.7329,0.70153,0.72786,0.58226,1.20308,1.20103,1.40286,0.0001684,0.0001684,0.0001684
86,7452.66,0.83145,0.74156,1.12858,0.73778,0.70245,0.7298,0.58435,1.20152,1.2107,1.39834,0.0001585,0.0001585,0.0001585
87,7536.61,0.82027,0.73166,1.12679,0.72225,0.70904,0.73247,0.58639,1.19533,1.20368,1.39338,0.0001486,0.0001486,0.0001486
88,7620.56,0.81685,0.72944,1.12215,0.74511,0.69904,0.73177,0.5852,1.1932,1.20586,1.39869,0.0001387,0.0001387,0.0001387
89,7704.39,0.81741,0.72873,1.12041,0.73611,0.69374,0.73365,0.58768,1.18196,1.19437,1.38378,0.0001288,0.0001288,0.0001288
90,7788.63,0.80688,0.70601,1.11239,0.75425,0.69231,0.73042,0.58786,1.19969,1.19179,1.40053,0.0001189,0.0001189,0.0001189
91,7893.93,0.75481,0.58743,1.06716,0.75422,0.69257,0.72363,0.57558,1.22251,1.20985,1.42055,0.000109,0.000109,0.000109
92,7979.11,0.73068,0.56114,1.05575,0.75282,0.69223,0.72725,0.57967,1.2217,1.22041,1.42645,9.91e-05,9.91e-05,9.91e-05
93,8064.06,0.72096,0.53666,1.03977,0.74485,0.70545,0.73107,0.5814,1.2161,1.22616,1.42954,8.92e-05,8.92e-05,8.92e-05
94,8149.27,0.70822,0.52689,1.02924,0.77147,0.68925,0.72807,0.58061,1.22267,1.23658,1.43486,7.93e-05,7.93e-05,7.93e-05
95,8234.53,0.7051,0.51755,1.03048,0.78689,0.67074,0.73116,0.58612,1.22275,1.22978,1.43785,6.94e-05,6.94e-05,6.94e-05
96,8321.06,0.69662,0.508,1.02249,0.78193,0.67619,0.72874,0.58518,1.22572,1.22796,1.44125,5.95e-05,5.95e-05,5.95e-05
97,8409.17,0.697,0.50453,1.02474,0.73176,0.70478,0.72528,0.58335,1.22265,1.23192,1.43948,4.96e-05,4.96e-05,4.96e-05
98,8532.5,0.69556,0.49613,1.02352,0.76697,0.69893,0.73404,0.58517,1.2279,1.21797,1.43994,3.97e-05,3.97e-05,3.97e-05
99,8619.88,0.69389,0.49005,1.0213,0.79561,0.67144,0.72995,0.58445,1.2212,1.22569,1.43479,2.98e-05,2.98e-05,2.98e-05
100,8706.14,0.69084,0.4936,1.02523,0.79072,0.67632,0.72815,0.5843,1.22432,1.22037,1.43722,1.99e-05,1.99e-05,1.99e-05
