epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.821,2.00669,9.89681,2.17303,0.32245,0.20947,0.07744,0.02749,2.23823,9.99031,2.46737,0.000332854,0.000332854,0.0670475
2,302.346,1.98534,9.1081,2.15602,0.62158,0.17363,0.13942,0.06396,2.15708,9.99067,2.38015,0.000666024,0.000666024,0.0340473
3,443.999,1.94172,8.65652,2.11556,0.41169,0.2316,0.15702,0.07252,2.12333,8.92581,2.35603,0.000998544,0.000998544,0.00104651
4,585.19,1.88804,8.22546,2.04588,0.43613,0.21017,0.2183,0.08558,2.15828,7.87907,2.35818,0.000997803,0.000997803,0.000997803
5,726.015,1.84396,7.89321,2.01768,0.44101,0.28214,0.22649,0.10108,2.0777,7.80299,2.22523,0.000996097,0.000996097,0.000996097
6,867.307,1.8338,7.62559,1.99717,0.37615,0.3046,0.25707,0.10902,2.08225,7.23844,2.25242,0.000993906,0.000993906,0.000993906
7,1008.39,1.79429,7.4067,1.96375,0.41765,0.32582,0.28712,0.12814,1.98965,6.82345,2.14053,0.000991232,0.000991232,0.000991232
8,1149.5,1.77799,7.18249,1.93264,0.45749,0.34128,0.27637,0.12623,2.03191,6.74902,2.16057,0.000988079,0.000988079,0.000988079
9,1290.09,1.75652,7.04852,1.91893,0.38258,0.33441,0.29515,0.14067,1.9981,6.65797,2.16981,0.000984449,0.000984449,0.000984449
10,1431.14,1.73485,6.88243,1.90078,0.5044,0.32638,0.33477,0.15264,1.98598,6.33404,2.126,0.000980345,0.000980345,0.000980345
11,1572.09,1.70902,6.71139,1.8727,0.45444,0.35147,0.31351,0.14117,1.9909,6.53502,2.13662,0.000975773,0.000975773,0.000975773
12,1712.96,1.6989,6.58895,1.85357,0.49656,0.36273,0.33409,0.14783,1.97906,6.27331,2.13081,0.000970736,0.000970736,0.000970736
13,1853.62,1.69337,6.49466,1.85096,0.4724,0.4185,0.34413,0.15116,2.01682,6.22168,2.12729,0.000965239,0.000965239,0.000965239
14,1994.27,1.67397,6.33834,1.83253,0.43496,0.39884,0.35706,0.16238,1.9615,5.96673,2.11583,0.000959289,0.000959289,0.000959289
15,2135.14,1.68038,6.25885,1.84093,0.42086,0.36886,0.33401,0.15513,1.92191,6.22353,2.07943,0.000952889,0.000952889,0.000952889
