epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.292,1.49733,1.56349,1.58265,0.45867,0.45299,0.43888,0.22138,1.78229,1.72516,1.91252,0.000417,0.000417,0.000417
2,300.984,1.4487,1.51899,1.54553,0.5296,0.43839,0.4395,0.22552,1.78414,1.74698,1.90409,0.000408743,0.000408743,0.000408743
3,437.425,1.43006,1.5173,1.53353,0.56622,0.4113,0.4545,0.23276,1.7467,1.70826,1.8641,0.000400487,0.000400487,0.000400487
4,573.705,1.41912,1.501,1.5276,0.4685,0.44171,0.4278,0.21733,1.7645,1.72596,1.88551,0.00039223,0.00039223,0.00039223
5,710.503,1.41252,1.48307,1.51634,0.56119,0.45237,0.43839,0.22334,1.77379,1.70995,1.88326,0.000383974,0.000383974,0.000383974
6,847.203,1.40228,1.46689,1.51748,0.45583,0.49084,0.43895,0.22359,1.76831,1.71783,1.8805,0.000375717,0.000375717,0.000375717
7,983.728,1.39507,1.45647,1.50973,0.56823,0.42764,0.4404,0.22049,1.7473,1.73242,1.8711,0.00036746,0.00036746,0.00036746
8,1119.69,1.38204,1.43683,1.4987,0.47592,0.46547,0.44349,0.22184,1.79397,1.67692,1.91311,0.000359204,0.000359204,0.000359204
9,1256.15,1.37099,1.40077,1.49098,0.57507,0.4746,0.46793,0.2348,1.7745,1.6637,1.89153,0.000350947,0.000350947,0.000350947
10,1393.03,1.36262,1.40779,1.48094,0.44878,0.47569,0.45218,0.22928,1.75576,1.7161,1.88841,0.000342691,0.000342691,0.000342691
11,1529.06,1.3564,1.38763,1.47443,0.47623,0.48149,0.44893,0.23163,1.75506,1.6632,1.89486,0.000334434,0.000334434,0.000334434
12,1665.64,1.34443,1.36292,1.46701,0.4994,0.45588,0.46182,0.23467,1.75736,1.70189,1.87486,0.000326177,0.000326177,0.000326177
13,1803.69,1.34501,1.3654,1.47401,0.56746,0.44943,0.45517,0.22496,1.78898,1.68373,1.90516,0.000317921,0.000317921,0.000317921
14,1939.25,1.32453,1.34075,1.45322,0.52043,0.46436,0.47394,0.24203,1.75288,1.65635,1.8907,0.000309664,0.000309664,0.000309664
15,2074.83,1.31468,1.29022,1.43971,0.54113,0.44383,0.46932,0.2391,1.76791,1.62517,1.89248,0.000301408,0.000301408,0.000301408
16,2210.21,1.31381,1.30408,1.44496,0.5544,0.4601,0.46184,0.2344,1.77305,1.62504,1.90485,0.000293151,0.000293151,0.000293151
17,2345.63,1.30577,1.2768,1.43513,0.50646,0.46815,0.45446,0.21923,1.77765,1.66032,1.89448,0.000284894,0.000284894,0.000284894
18,2480.43,1.30362,1.27316,1.42761,0.57964,0.43736,0.47317,0.23636,1.78687,1.63505,1.92085,0.000276638,0.000276638,0.000276638
19,2616.05,1.28269,1.25203,1.4111,0.47835,0.47353,0.46667,0.23256,1.78809,1.64848,1.89481,0.000268381,0.000268381,0.000268381
