epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.722,1.71911,5.00059,1.95493,0.4743,0.23382,0.22034,0.13298,1.80661,3.37908,2.02009,0.00199574,0.00199574,0.0820383
2,319,1.55896,3.24748,1.77208,0.43766,0.34174,0.28176,0.15855,1.83287,3.09436,2.07082,0.00399477,0.00399477,0.0640373
3,465.368,1.59995,3.18502,1.79316,0.48297,0.3155,0.26792,0.14648,1.90709,3.14515,2.12631,0.00598989,0.00598989,0.0460324
4,611.31,1.64312,3.25703,1.83079,0.43513,0.2642,0.21524,0.11141,1.99656,3.85779,2.2523,0.00797818,0.00797818,0.0280207
5,756.549,1.72717,3.48816,1.92226,0.52186,0.2362,0.21116,0.11078,2.04219,3.86236,2.28992,0.00995673,0.00995673,0.00999928
6,900.595,1.78808,3.7469,1.99396,0.32313,0.27345,0.21932,0.10723,2.11746,3.80786,2.40637,0.00993906,0.00993906,0.00993906
7,1045.97,1.76664,3.68252,1.98223,0.42247,0.29247,0.24843,0.1263,2.03705,3.47361,2.28817,0.00991232,0.00991232,0.00991232
8,1190.88,1.73808,3.5585,1.94973,0.47578,0.27623,0.26869,0.14071,1.94847,3.36808,2.2235,0.00988079,0.00988079,0.00988079
9,1336.41,1.70372,3.43257,1.93425,0.41969,0.31589,0.28939,0.14796,1.91094,3.24179,2.20042,0.00984449,0.00984449,0.00984449
10,1481.3,1.68843,3.37945,1.91705,0.36746,0.35279,0.30285,0.16555,1.84925,3.22467,2.11189,0.00980345,0.00980345,0.00980345
11,1626.47,1.65419,3.29878,1.89147,0.36986,0.35394,0.32419,0.16356,1.88721,3.04242,2.16992,0.00975773,0.00975773,0.00975773
12,1773.76,1.6316,3.15491,1.85997,0.38576,0.38915,0.34995,0.17938,1.86918,2.91732,2.13196,0.00970736,0.00970736,0.00970736
13,1918.79,1.62163,3.12247,1.84984,0.41218,0.40265,0.37081,0.2013,1.7503,2.75883,2.01984,0.00965239,0.00965239,0.00965239
14,2063.66,1.61637,3.1009,1.84603,0.4563,0.35751,0.33296,0.17825,1.86377,3.0272,2.12671,0.00959289,0.00959289,0.00959289
15,2211.66,1.59662,3.0282,1.81729,0.48379,0.39295,0.39187,0.21129,1.76256,2.64313,2.01661,0.00952889,0.00952889,0.00952889
16,2359.55,1.58486,2.98067,1.81103,0.51597,0.41195,0.39133,0.21154,1.76786,2.72985,2.06022,0.00946048,0.00946048,0.00946048
17,2507.37,1.56601,2.91637,1.79722,0.44275,0.41577,0.39907,0.21233,1.79124,2.64824,2.0425,0.00938772,0.00938772,0.00938772
18,2652.81,1.54441,2.84234,1.77189,0.4455,0.45492,0.40679,0.22426,1.72858,2.59878,1.96389,0.00931067,0.00931067,0.00931067
19,2797.29,1.54858,2.83833,1.77509,0.46425,0.44188,0.42137,0.23051,1.72949,2.56978,1.99765,0.00922942,0.00922942,0.00922942
20,2941.83,1.52059,2.73774,1.75224,0.48641,0.42135,0.41687,0.22729,1.72443,2.54297,1.97172,0.00914405,0.00914405,0.00914405
21,3089.24,1.53646,2.74533,1.75964,0.44939,0.47275,0.43024,0.23406,1.71959,2.51464,1.95045,0.00905463,0.00905463,0.00905463
22,3237.25,1.51607,2.70389,1.74346,0.50407,0.48247,0.45112,0.23416,1.75654,2.49194,1.98822,0.00896127,0.00896127,0.00896127
23,3382.9,1.50722,2.6535,1.7383,0.46467,0.44487,0.43845,0.23074,1.72527,2.47052,1.94756,0.00886404,0.00886404,0.00886404
24,3527.76,1.51029,2.66976,1.73082,0.47606,0.49311,0.46946,0.25283,1.69528,2.39464,1.91967,0.00876305,0.00876305,0.00876305
25,3673.57,1.49101,2.60886,1.70983,0.5258,0.4704,0.46079,0.24719,1.7366,2.38872,1.96827,0.00865839,0.00865839,0.00865839
26,3818.2,1.46773,2.54918,1.70183,0.52113,0.4759,0.47972,0.26113,1.67647,2.342,1.90669,0.00855018,0.00855018,0.00855018
27,3961.72,1.48291,2.55474,1.70617,0.4824,0.48393,0.45197,0.24745,1.68228,2.36382,1.92885,0.00843851,0.00843851,0.00843851
28,4106.33,1.46441,2.48427,1.68575,0.48721,0.47564,0.46377,0.2491,1.69091,2.37367,1.91391,0.00832349,0.00832349,0.00832349
29,4251.9,1.45489,2.4497,1.68169,0.5434,0.47385,0.48269,0.2596,1.68156,2.24515,1.92089,0.00820525,0.00820525,0.00820525
30,4396.7,1.45286,2.4461,1.67494,0.54236,0.4789,0.49042,0.25973,1.70831,2.27159,1.92619,0.00808389,0.00808389,0.00808389
31,4542.33,1.44578,2.40445,1.66527,0.50053,0.50878,0.48035,0.25861,1.66623,2.25575,1.89092,0.00795954,0.00795954,0.00795954
32,4687.28,1.43238,2.37644,1.65657,0.52444,0.49684,0.48398,0.26568,1.68069,2.28357,1.91639,0.00783231,0.00783231,0.00783231
33,4832.95,1.42009,2.35854,1.65718,0.52863,0.51105,0.49697,0.26969,1.67383,2.22882,1.9147,0.00770234,0.00770234,0.00770234
34,4978.19,1.42537,2.33816,1.64473,0.49067,0.53762,0.49843,0.26756,1.66878,2.25455,1.92137,0.00756976,0.00756976,0.00756976
35,5122.84,1.40931,2.30746,1.64075,0.55394,0.50492,0.51621,0.28165,1.62504,2.14567,1.85873,0.00743468,0.00743468,0.00743468
36,5267.76,1.39111,2.24866,1.63048,0.50637,0.51448,0.49891,0.27249,1.66737,2.16853,1.89676,0.00729725,0.00729725,0.00729725
37,5412.55,1.37972,2.21983,1.61348,0.56309,0.54983,0.54127,0.28669,1.63595,2.11056,1.85249,0.00715761,0.00715761,0.00715761
38,5557.06,1.37489,2.19454,1.60943,0.50304,0.53929,0.50686,0.27822,1.62343,2.14323,1.85782,0.00701588,0.00701588,0.00701588
39,5702.34,1.38837,2.20741,1.62087,0.53135,0.52621,0.52551,0.28625,1.64631,2.12845,1.87019,0.00687222,0.00687222,0.00687222
40,5847.44,1.37243,2.19337,1.60704,0.54052,0.53645,0.51872,0.28559,1.62645,2.0904,1.85649,0.00672675,0.00672675,0.00672675
41,5993.32,1.36462,2.12727,1.59945,0.49788,0.55725,0.5177,0.28818,1.61258,2.16844,1.84343,0.00657963,0.00657963,0.00657963
42,6138.66,1.33488,2.06708,1.5661,0.5564,0.53231,0.50953,0.28453,1.63612,2.13771,1.86579,0.00643101,0.00643101,0.00643101
43,6284.34,1.34388,2.09404,1.57745,0.55573,0.55191,0.52285,0.29013,1.62217,2.07713,1.84134,0.00628101,0.00628101,0.00628101
44,6431.06,1.34514,2.06867,1.58225,0.54909,0.54545,0.52654,0.29042,1.63288,2.07221,1.85176,0.00612981,0.00612981,0.00612981
45,6576.74,1.31823,2.01739,1.55725,0.58195,0.51134,0.52547,0.28694,1.62307,2.0484,1.86671,0.00597754,0.00597754,0.00597754
46,6723.35,1.32591,2.01337,1.56156,0.51356,0.56789,0.54028,0.30254,1.59768,1.99501,1.82925,0.00582435,0.00582435,0.00582435
47,6870.04,1.32238,2.00168,1.55214,0.57017,0.49341,0.52347,0.29611,1.60319,2.01931,1.84204,0.0056704,0.0056704,0.0056704
48,7015.92,1.31669,1.9815,1.55937,0.57135,0.53651,0.53605,0.29962,1.61418,2.02134,1.83222,0.00551584,0.00551584,0.00551584
