epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6971,1.19218,2.56617,1.37914,0.48967,0.55255,0.5284,0.36577,1.05144,1.56413,1.27475,0.000253845,0.000253845,0.000253845
2,72.0142,1.03934,1.43612,1.2075,0.55248,0.57774,0.55769,0.36107,1.11701,1.51077,1.31414,0.000505127,0.000505127,0.000505127
3,102.439,1.03499,1.30561,1.20111,0.68908,0.62183,0.65585,0.45303,1.06946,1.25389,1.27117,0.000751334,0.000751334,0.000751334
4,132.869,1.04478,1.25396,1.21202,0.69748,0.66272,0.72935,0.50441,0.99873,1.20521,1.19907,0.000746161,0.000746161,0.000746161
5,163.295,0.98047,1.15038,1.17495,0.76424,0.77696,0.81801,0.60623,0.92637,0.86877,1.16073,0.000738548,0.000738548,0.000738548
6,193.678,0.96497,1.08347,1.15709,0.79547,0.7345,0.80119,0.58982,0.96292,0.9172,1.1933,0.000730935,0.000730935,0.000730935
7,223.942,0.94205,1.03044,1.14528,0.76511,0.75822,0.82733,0.61999,0.87697,0.91459,1.11251,0.000723321,0.000723321,0.000723321
8,254.552,0.91928,0.97693,1.12672,0.81358,0.83649,0.88387,0.67537,0.8491,0.74974,1.08711,0.000715708,0.000715708,0.000715708
9,285.228,0.89222,0.92507,1.11045,0.83668,0.8154,0.88333,0.68831,0.83371,0.72036,1.07762,0.000708095,0.000708095,0.000708095
10,316.095,0.87393,0.91559,1.10245,0.83877,0.8783,0.91097,0.70386,0.8337,0.66641,1.07351,0.000700482,0.000700482,0.000700482
11,346.588,0.85597,0.86532,1.08879,0.84317,0.83951,0.88588,0.69574,0.79225,0.70544,1.04706,0.000692869,0.000692869,0.000692869
12,377.177,0.84932,0.85906,1.08692,0.84116,0.83231,0.89638,0.71159,0.7803,0.70576,1.0464,0.000685256,0.000685256,0.000685256
13,408.08,0.82035,0.80225,1.07091,0.87314,0.86382,0.91826,0.73699,0.75295,0.6216,1.02351,0.000677643,0.000677643,0.000677643
14,438.733,0.79929,0.8,1.06602,0.86212,0.87685,0.91513,0.73927,0.74646,0.61802,1.01372,0.00067003,0.00067003,0.00067003
15,469.645,0.80371,0.78119,1.06338,0.85651,0.86924,0.90876,0.73795,0.7441,0.63581,1.01908,0.000662417,0.000662417,0.000662417
16,499.92,0.79234,0.76083,1.05998,0.88453,0.87401,0.92958,0.75628,0.72587,0.57056,1.01157,0.000654804,0.000654804,0.000654804
17,530.536,0.78906,0.74412,1.04737,0.88986,0.88148,0.93205,0.74768,0.74992,0.56821,1.02003,0.00064719,0.00064719,0.00064719
18,561.102,0.78085,0.73405,1.054,0.87047,0.91205,0.93432,0.77091,0.7049,0.55259,0.99043,0.000639577,0.000639577,0.000639577
19,591.956,0.77219,0.72393,1.04248,0.90075,0.88464,0.93395,0.76348,0.71294,0.56345,0.99804,0.000631964,0.000631964,0.000631964
20,622.445,0.75106,0.71327,1.0334,0.89452,0.91239,0.9406,0.77942,0.68502,0.52644,0.9789,0.000624351,0.000624351,0.000624351
21,653.375,0.74991,0.68867,1.02493,0.89463,0.89482,0.94018,0.77031,0.71719,0.53013,0.99016,0.000616738,0.000616738,0.000616738
22,683.725,0.74797,0.69387,1.03079,0.87778,0.89791,0.93937,0.78349,0.68414,0.53205,0.98261,0.000609125,0.000609125,0.000609125
23,714.387,0.73746,0.66015,1.01792,0.89239,0.89625,0.93952,0.78359,0.68069,0.52646,0.97667,0.000601512,0.000601512,0.000601512
24,745.196,0.72771,0.66201,1.01801,0.88381,0.89888,0.93804,0.77647,0.6979,0.5288,0.9887,0.000593899,0.000593899,0.000593899
25,775.973,0.72989,0.65339,1.01349,0.90082,0.91539,0.95095,0.79471,0.68157,0.48954,0.97429,0.000586286,0.000586286,0.000586286
26,807.005,0.71431,0.6443,1.01481,0.9126,0.91804,0.95032,0.80629,0.65694,0.48195,0.9693,0.000578672,0.000578672,0.000578672
27,837.925,0.70484,0.63507,1.00434,0.90675,0.90844,0.95389,0.80278,0.66783,0.49489,0.96786,0.000571059,0.000571059,0.000571059
28,868.312,0.70535,0.62983,1.00592,0.91321,0.91047,0.94892,0.80125,0.66005,0.49066,0.96809,0.000563446,0.000563446,0.000563446
29,899.047,0.69962,0.60725,0.99657,0.90435,0.91979,0.95067,0.80158,0.67203,0.4711,0.97025,0.000555833,0.000555833,0.000555833
30,929.543,0.69312,0.59756,0.99381,0.90365,0.93176,0.95558,0.80991,0.64841,0.46426,0.95875,0.00054822,0.00054822,0.00054822
31,960.26,0.68446,0.60105,0.98874,0.89373,0.93562,0.95342,0.8085,0.64145,0.47143,0.95351,0.000540607,0.000540607,0.000540607
32,990.942,0.6809,0.60195,0.9933,0.92418,0.91262,0.9518,0.80683,0.64918,0.45795,0.95908,0.000532994,0.000532994,0.000532994
33,1022.35,0.67084,0.58303,0.98441,0.90457,0.93007,0.95687,0.8138,0.6382,0.45561,0.95649,0.000525381,0.000525381,0.000525381
34,1052.91,0.68185,0.58449,0.99264,0.90834,0.9263,0.95369,0.81394,0.62745,0.4507,0.95022,0.000517768,0.000517768,0.000517768
35,1084.22,0.67065,0.56897,0.98515,0.91047,0.93074,0.95829,0.82599,0.61837,0.44635,0.94426,0.000510155,0.000510155,0.000510155
36,1114.96,0.65814,0.56086,0.98,0.91543,0.91238,0.94848,0.80821,0.63705,0.46443,0.95409,0.000502541,0.000502541,0.000502541
37,1145.75,0.65168,0.54941,0.97675,0.9164,0.93773,0.95801,0.82818,0.62047,0.43295,0.94261,0.000494928,0.000494928,0.000494928
38,1176.69,0.65418,0.55037,0.98103,0.92763,0.92707,0.95505,0.82454,0.62358,0.43492,0.94192,0.000487315,0.000487315,0.000487315
39,1207.39,0.64888,0.54536,0.9725,0.91468,0.94818,0.95894,0.82121,0.623,0.42941,0.94711,0.000479702,0.000479702,0.000479702
40,1237.85,0.65195,0.55079,0.97562,0.90439,0.93593,0.96038,0.83517,0.61091,0.43381,0.9375,0.000472089,0.000472089,0.000472089
41,1268.95,0.64841,0.5435,0.97397,0.91921,0.93141,0.96214,0.83015,0.61943,0.42452,0.94549,0.000464476,0.000464476,0.000464476
42,1299.96,0.62995,0.52926,0.97003,0.91415,0.92097,0.95404,0.82669,0.61402,0.43891,0.93895,0.000456863,0.000456863,0.000456863
43,1330.63,0.62628,0.52119,0.96801,0.93046,0.91422,0.95789,0.82585,0.61487,0.44038,0.94069,0.00044925,0.00044925,0.00044925
44,1361.9,0.62602,0.51745,0.96446,0.92049,0.92753,0.96119,0.82954,0.61377,0.42347,0.93569,0.000441637,0.000441637,0.000441637
45,1393.06,0.62844,0.51314,0.96515,0.93153,0.92931,0.96244,0.83303,0.60604,0.40841,0.93221,0.000434024,0.000434024,0.000434024
46,1424.22,0.62438,0.51693,0.96165,0.91312,0.94256,0.96381,0.83822,0.60759,0.42036,0.93498,0.000426411,0.000426411,0.000426411
