epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,221.899,1.27425,2.55714,1.83281,1.26415,0,0.64372,0.51329,0.53271,0.3841,0.47862,0.34229,0.2954,0.13743,1.01297,6.1872,1.71096,1.1135,0,0.000332725,0.000332725,0.0670602
2,502.719,1.18356,2.25896,1.35336,1.20978,0,0.64154,0.58837,0.62915,0.44264,0.6297,0.57749,0.6274,0.40665,0.99729,1.68433,1.40264,1.14593,0,0.000665408,0.000665408,0.0340596
3,819.468,1.15096,2.16077,1.24295,1.19129,0,0.61233,0.66263,0.71829,0.52408,0.60727,0.66216,0.72372,0.50575,0.89508,1.30952,1.18433,1.08965,0,0.000995491,0.000995491,0.00105632
4,1103.18,1.10978,2.06956,1.15561,1.1684,0,0.66082,0.72812,0.74245,0.55862,0.69094,0.72286,0.72913,0.52094,0.82163,1.34663,0.95266,1.03504,0,0.000991232,0.000991232,0.000991232
5,1313.29,1.06647,1.98141,1.06678,1.13986,0,0.71308,0.72265,0.76806,0.57526,0.72359,0.70305,0.75947,0.53931,0.81105,1.44069,0.98427,1.01575,0,0.000984449,0.000984449,0.000984449
6,1517.17,1.03855,1.91392,1.02302,1.12828,0,0.73822,0.74668,0.80238,0.61058,0.77167,0.7576,0.80788,0.58444,0.80437,1.29704,0.81208,1.02784,0,0.000975773,0.000975773,0.000975773
7,1716.5,1.00937,1.852,0.96974,1.10962,0,0.81665,0.74066,0.83681,0.63487,0.82257,0.74534,0.82944,0.59772,0.78596,1.17771,0.78426,1.03046,0,0.000965239,0.000965239,0.000965239
8,1915.98,0.9908,1.8208,0.93384,1.09866,0,0.72799,0.80013,0.83114,0.64405,0.78797,0.77023,0.82053,0.6013,0.73767,1.17992,0.794,0.99219,0,0.000952889,0.000952889,0.000952889
9,2110.94,0.97062,1.77626,0.91041,1.08844,0,0.7651,0.78039,0.83132,0.6492,0.76986,0.7835,0.82727,0.61562,0.76599,1.08012,0.80238,0.99311,0,0.000938772,0.000938772,0.000938772
10,2386.64,0.96078,1.75718,0.88435,1.08336,0,0.8183,0.77618,0.8602,0.66228,0.818,0.77263,0.84233,0.62698,0.74362,1.09852,0.73493,0.99469,0,0.000922942,0.000922942,0.000922942
11,2580.99,0.94657,1.73997,0.86564,1.07369,0,0.79836,0.77209,0.85043,0.66609,0.79906,0.77175,0.83903,0.63805,0.69596,1.00555,0.6953,0.97598,0,0.000905463,0.000905463,0.000905463
12,2775.95,0.93901,1.71763,0.8525,1.07195,0,0.76124,0.85415,0.86299,0.68878,0.75165,0.85238,0.85394,0.65388,0.7045,1.00571,0.67582,0.97553,0,0.000886404,0.000886404,0.000886404
13,2970.95,0.92392,1.68011,0.83036,1.06181,0,0.83036,0.80085,0.88897,0.70217,0.80586,0.81898,0.87152,0.66095,0.69712,0.9647,0.66561,0.97474,0,0.000865839,0.000865839,0.000865839
14,3166.21,0.91273,1.65715,0.81273,1.05714,0,0.8787,0.76597,0.87174,0.69691,0.85345,0.79067,0.86975,0.6581,0.69529,1.00899,0.69174,0.97151,0,0.000843851,0.000843851,0.000843851
15,3362.9,0.90179,1.62774,0.7955,1.05086,0,0.8484,0.81207,0.88951,0.69906,0.85684,0.81005,0.87409,0.65331,0.72064,1.00238,0.66789,0.97287,0,0.000820525,0.000820525,0.000820525
16,3560.38,0.8993,1.63253,0.79264,1.04927,0,0.86256,0.78707,0.88149,0.7125,0.86332,0.80064,0.87281,0.663,0.67111,1.02483,0.65731,0.94928,0,0.000795954,0.000795954,0.000795954
17,3757.6,0.88613,1.60976,0.77219,1.04241,0,0.8448,0.81524,0.89053,0.71741,0.83424,0.81657,0.87744,0.67443,0.67888,0.97391,0.64767,0.96945,0,0.000770234,0.000770234,0.000770234
18,3953.77,0.87086,1.57068,0.74826,1.0365,0,0.84831,0.81029,0.89042,0.71695,0.82502,0.84745,0.88155,0.68403,0.6542,1.07794,0.62271,0.94844,0,0.000743468,0.000743468,0.000743468
