epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,294.937,1.25625,2.3767,1.67124,1.27208,0,0.58572,0.52054,0.50781,0.3484,0.56688,0.36783,0.36587,0.17228,1.04424,3.96111,1.68315,1.14943,0,0.000332725,0.000332725,0.0670602
2,566.008,1.16357,2.02186,1.14625,1.2042,0,0.6775,0.62079,0.67787,0.49952,0.66843,0.60632,0.66189,0.44579,0.94859,1.69687,1.19599,1.11242,0,0.000665408,0.000665408,0.0340596
3,830.291,1.12412,1.90075,1.02822,1.17751,0,0.68516,0.64055,0.74068,0.53554,0.68325,0.63875,0.72137,0.51321,0.93412,1.38213,1.00508,1.11481,0,0.000995491,0.000995491,0.00105632
4,1090.52,1.06607,1.78974,0.9334,1.14265,0,0.69522,0.64441,0.69628,0.52194,0.73729,0.62067,0.69685,0.49462,0.88158,1.37111,1.13611,1.05153,0,0.000991232,0.000991232,0.000991232
5,1350.03,1.01514,1.68262,0.85141,1.11321,0,0.78729,0.71473,0.8075,0.60899,0.79058,0.71923,0.80211,0.58242,0.8116,1.16626,0.87638,1.03577,0,0.000984449,0.000984449,0.000984449
6,1609.03,0.98094,1.61839,0.80305,1.09077,0,0.73006,0.81881,0.83968,0.64345,0.74336,0.81681,0.82862,0.61033,0.79664,1.17502,0.78521,1.01794,0,0.000975773,0.000975773,0.000975773
7,1868.19,0.95035,1.56056,0.75903,1.07467,0,0.81169,0.74694,0.83506,0.63727,0.81525,0.74954,0.84392,0.61547,0.76016,1.11129,0.75821,0.99016,0,0.000965239,0.000965239,0.000965239
8,2127.03,0.92317,1.51125,0.72197,1.05901,0,0.81326,0.76761,0.84938,0.65711,0.8373,0.77463,0.85605,0.63107,0.74872,1.04549,0.71786,0.97753,0,0.000952889,0.000952889,0.000952889
9,2387.58,0.90362,1.46748,0.69747,1.04646,0,0.81836,0.78092,0.86072,0.67169,0.80143,0.79834,0.85606,0.64444,0.71765,1.00936,0.69315,0.96341,0,0.000938772,0.000938772,0.000938772
10,2647.16,0.88359,1.42838,0.67183,1.03572,0,0.79581,0.73731,0.80975,0.64269,0.79627,0.73858,0.81026,0.61834,0.75291,1.03087,0.83656,0.97419,0,0.000922942,0.000922942,0.000922942
11,2907.32,0.86155,1.39644,0.65151,1.02562,0,0.87163,0.78988,0.89361,0.70572,0.87046,0.78873,0.88363,0.67406,0.72109,0.97541,0.64577,0.95906,0,0.000905463,0.000905463,0.000905463
12,3170.67,0.84823,1.36599,0.63218,1.01616,0,0.81054,0.82774,0.88739,0.70446,0.80689,0.83014,0.88439,0.65685,0.70428,0.98215,0.69266,0.95739,0,0.000886404,0.000886404,0.000886404
13,3448.56,0.83323,1.3348,0.61772,1.01067,0,0.85339,0.80955,0.9047,0.70915,0.84832,0.80486,0.89669,0.66898,0.69632,0.98637,0.61189,0.95515,0,0.000865839,0.000865839,0.000865839
14,3748.74,0.82228,1.31483,0.60706,1.00284,0,0.85826,0.79173,0.88443,0.70648,0.85837,0.79394,0.87252,0.6707,0.686,0.9711,0.63801,0.95262,0,0.000843851,0.000843851,0.000843851
15,4063.55,0.80829,1.28675,0.58768,0.99175,0,0.8688,0.7968,0.90001,0.72042,0.868,0.79585,0.88495,0.67623,0.68689,0.96229,0.60474,0.96276,0,0.000820525,0.000820525,0.000820525
16,4384.25,0.798,1.26201,0.57894,0.98744,0,0.87114,0.79379,0.89578,0.73509,0.88766,0.80331,0.90415,0.68773,0.667,0.89188,0.61304,0.93841,0,0.000795954,0.000795954,0.000795954
17,4719.25,0.786,1.23867,0.56272,0.98279,0,0.8618,0.78842,0.89267,0.71445,0.85508,0.78431,0.87719,0.68392,0.65662,0.90232,0.6338,0.9352,0,0.000770234,0.000770234,0.000770234
18,5038.9,0.77723,1.2278,0.55314,0.97597,0,0.83179,0.81066,0.87879,0.71363,0.8408,0.80083,0.87496,0.67376,0.65786,0.91906,0.61361,0.92668,0,0.000743468,0.000743468,0.000743468
19,5363.43,0.76088,1.19628,0.53508,0.96987,0,0.83781,0.8145,0.86366,0.71229,0.83485,0.83949,0.86991,0.6711,0.64057,0.90871,0.62237,0.93293,0,0.000715761,0.000715761,0.000715761
20,5683.48,0.75332,1.17863,0.52623,0.96413,0,0.86511,0.82319,0.87239,0.72149,0.86733,0.83207,0.87163,0.68872,0.6354,0.86011,0.56344,0.91547,0,0.000687222,0.000687222,0.000687222
21,6007.78,0.74072,1.15604,0.51167,0.95923,0,0.88642,0.80936,0.90676,0.74135,0.8767,0.80937,0.89185,0.70174,0.60986,0.88962,0.56736,0.9037,0,0.000657963,0.000657963,0.000657963
22,6315.29,0.73283,1.14479,0.5029,0.95304,0,0.88983,0.82929,0.91275,0.74759,0.88901,0.82797,0.88834,0.69503,0.60418,0.90102,0.55703,0.91916,0,0.000628101,0.000628101,0.000628101
23,6586.14,0.72343,1.12199,0.49317,0.94779,0,0.80507,0.88116,0.91098,0.7437,0.88057,0.80622,0.8947,0.70178,0.60264,0.86938,0.54849,0.90572,0,0.000597754,0.000597754,0.000597754
24,6894.13,0.71065,1.09806,0.47922,0.94168,0,0.84206,0.83968,0.88575,0.73061,0.83036,0.84105,0.86011,0.69151,0.61128,0.89842,0.55701,0.90647,0,0.00056704,0.00056704,0.00056704
25,7206.27,0.70062,1.08721,0.47076,0.93736,0,0.88939,0.80599,0.87714,0.72721,0.88235,0.8029,0.8676,0.69128,0.60488,0.86052,0.53927,0.91375,0,0.000536081,0.000536081,0.000536081
26,7549.76,0.69319,1.07202,0.46107,0.93519,0,0.81167,0.87033,0.90024,0.74539,0.81259,0.87363,0.90193,0.70103,0.60368,0.86294,0.52493,0.90534,0,0.000505,0.000505,0.000505
27,7896.06,0.68084,1.05809,0.45043,0.92783,0,0.87665,0.83469,0.88216,0.73858,0.87417,0.83234,0.86633,0.69212,0.6075,0.87408,0.53529,0.91627,0,0.000473919,0.000473919,0.000473919
28,8181.2,0.67282,1.03786,0.44182,0.92368,0,0.84989,0.81227,0.88761,0.74273,0.81931,0.82895,0.87603,0.69637,0.5932,0.85628,0.54099,0.89774,0,0.00044296,0.00044296,0.00044296
29,8476.37,0.66421,1.02637,0.4315,0.91976,0,0.7815,0.88034,0.89623,0.74721,0.77467,0.87324,0.88832,0.70382,0.5947,0.8647,0.5124,0.91054,0,0.000412246,0.000412246,0.000412246
30,8796.49,0.65477,1.0078,0.42349,0.91496,0,0.91134,0.80315,0.88194,0.74549,0.90438,0.79968,0.87705,0.69538,0.57606,0.84606,0.51139,0.89464,0,0.000381899,0.000381899,0.000381899
31,9111.43,0.64587,0.99306,0.41466,0.91142,0,0.90052,0.85229,0.90126,0.75597,0.89089,0.84514,0.88672,0.70045,0.56873,0.87067,0.49318,0.89944,0,0.000352037,0.000352037,0.000352037
32,9437.54,0.63696,0.97978,0.40668,0.90804,0,0.806,0.85658,0.88383,0.74298,0.79983,0.84258,0.86345,0.69615,0.59659,0.8717,0.52331,0.92304,0,0.000322778,0.000322778,0.000322778
33,9762.71,0.62695,0.97042,0.39804,0.90389,0,0.89952,0.83733,0.89306,0.75354,0.88816,0.83062,0.88142,0.6995,0.56838,0.83268,0.51228,0.89903,0,0.000294239,0.000294239,0.000294239
34,10085.9,0.62157,0.95957,0.39258,0.90127,0,0.88026,0.85243,0.89904,0.76162,0.87443,0.84556,0.89371,0.71537,0.56928,0.86246,0.51451,0.91394,0,0.000266532,0.000266532,0.000266532
35,10416.4,0.613,0.94846,0.38504,0.89812,0,0.88102,0.85799,0.90376,0.76663,0.87855,0.85631,0.89932,0.71485,0.55511,0.87441,0.50657,0.90616,0,0.000239766,0.000239766,0.000239766
36,10727.5,0.60536,0.94057,0.37914,0.89503,0,0.878,0.85895,0.90408,0.76578,0.8992,0.83056,0.89793,0.71746,0.55007,0.84367,0.49289,0.89607,0,0.000214046,0.000214046,0.000214046
37,11047.3,0.5994,0.92696,0.37235,0.89186,0,0.89527,0.84187,0.90245,0.77018,0.89303,0.84127,0.89423,0.71597,0.54432,0.86894,0.4965,0.89592,0,0.000189475,0.000189475,0.000189475
38,11373.1,0.58863,0.91117,0.36483,0.8879,0,0.89297,0.8422,0.89979,0.75999,0.89358,0.84278,0.8978,0.70742,0.54691,0.87165,0.50154,0.89757,0,0.000166149,0.000166149,0.000166149
39,11693.2,0.58565,0.90902,0.36212,0.88789,0,0.90337,0.84266,0.90008,0.76155,0.90353,0.84423,0.89918,0.71768,0.54692,0.87188,0.49993,0.89983,0,0.000144161,0.000144161,0.000144161
40,12022.2,0.57821,0.89839,0.35597,0.88362,0,0.88355,0.86612,0.90177,0.7648,0.87854,0.86162,0.89141,0.7126,0.54765,0.87845,0.5004,0.90111,0,0.000123596,0.000123596,0.000123596
41,12351.7,0.5742,0.89284,0.35278,0.88226,0,0.86346,0.88442,0.90352,0.76772,0.86619,0.87518,0.89477,0.71151,0.54447,0.87367,0.49856,0.89527,0,0.000104537,0.000104537,0.000104537
